# run_start: 2026-07-04 08:08:51 | build: Jul  3 2026 21:53:53 | target_hz: 1000
timestamp_ns,dt,raw_baro_alt,gps_alt,ekf_alt,ekf_vel_z,pid_target,pid_out_throttle,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,ekf_roll_deg,ekf_pitch_deg,ekf_yaw_deg,tgt_roll_deg,tgt_pitch_deg,tgt_yaw_deg,pwm_fr,pwm_rl,pwm_fl,pwm_rr
1783120126291449088,0.001,-0.680607,-0.680607,-0.243269,-0,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126292449024,0.001,-0.680607,-0.680607,-0.358426,-2.9857e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126293448960,0.001,0,0,-0.358426,-2.98569e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126294448896,0.001,-0.680607,-0.680607,-0.425579,-6.67177e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126295448832,0.001,0,0,-0.425579,-6.67176e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126296448768,0.001,-0.680607,-0.680607,-0.469566,-9.59453e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126297448704,0.001,0,0,-0.469566,-9.59452e-05,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126298448640,0.001,-0.680607,-0.680607,-0.500612,-0.000118455,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126299448576,0.001,0,0,-0.500612,-0.000118455,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126300448512,0.001,-0.680607,-0.680607,-0.523695,-0.000136017,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126301448448,0.001,0,0,-0.523695,-0.000136017,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126302448384,0.001,-0.680607,-0.680607,-0.541531,-0.000149978,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126303448320,0.001,0,0,-0.541531,-0.000149978,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126304448256,0.001,-0.680607,-0.680607,-0.555726,-0.000161273,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126305448192,0.001,0,0,-0.555726,-0.000161273,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126306448128,0.001,-0.680607,-0.680607,-0.567292,-0.00017055,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126307448064,0.001,0,0,-0.567292,-0.00017055,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126308448000,0.001,0,0,-0.567292,-0.00017055,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126309447936,0.001,-0.680607,-0.680607,-0.576897,-0.000180469,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126310447872,0.001,-0.680607,-0.680607,-0.585001,-0.000186592,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126311447808,0.001,-0.680607,-0.680607,-0.59193,-0.00019024,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126312447744,0.001,0,0,-0.591931,-0.00019024,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126313447680,0.001,-0.680607,-0.680607,-0.597923,-0.000193575,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126314447616,0.001,0,0,-0.597924,-0.000193574,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126315447552,0.001,-0.680607,-0.680607,-0.603158,-0.000196591,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126316447488,0.001,0,0,-0.603158,-0.000196591,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126317447424,0.001,-0.680607,-0.680607,-0.607769,-0.000199302,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126318447360,0.001,0,0,-0.607769,-0.000199302,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126319447296,0.001,-0.680607,-0.680607,-0.611862,-0.000201724,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126320447232,0.001,0,0,-0.611862,-0.000201724,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126321447168,0.001,-0.680607,-0.680607,-0.615519,-0.000203878,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126322447104,0.001,0,0,-0.615519,-0.000203878,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126323447040,0.001,-0.680607,-0.680607,-0.618807,-0.000205783,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126324446976,0.001,0,0,-0.618807,-0.000205783,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126325446912,0.001,-0.680607,-0.680607,-0.621779,-0.000207459,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126326446848,0.001,0,0,-0.621779,-0.000207458,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126327446784,0.001,-0.680607,-0.680607,-0.624478,-0.000208923,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126328446720,0.001,0,0,-0.624479,-0.000208923,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126329446656,0.001,-0.680607,-0.680607,-0.626941,-0.000210194,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126330446592,0.001,0,0,-0.626941,-0.000210194,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126331446528,0.001,0,0,-0.626941,-0.000210193,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126332446464,0.001,0,0,-0.626942,-0.000210193,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126333446400,0.001,0,0,-0.626942,-0.000210193,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126334446336,0.001,0,0,-0.626942,-0.000210193,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126335446272,0.001,0,0,-0.626942,-0.000210192,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126336446208,0.001,0,0,-0.626942,-0.000210192,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126337446144,0.001,0,0,-0.626943,-0.000210192,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126338446080,0.001,0,0,-0.626943,-0.000210192,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126339446016,0.001,0,0,-0.626943,-0.000210191,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126340445952,0.001,0,0,-0.626943,-0.000210191,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126341445888,0.001,0,0,-0.626943,-0.000210191,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126342445824,0.001,0,0,-0.626944,-0.000210191,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126343445760,0.001,0,0,-0.626944,-0.000210191,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126344445696,0.001,0,0,-0.626944,-0.00021019,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126345445632,0.001,0,0,-0.626944,-0.00021019,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126346445568,0.001,0,0,-0.626944,-0.00021019,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126347445504,0.001,0,0,-0.626945,-0.00021019,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126348445440,0.001,0,0,-0.626945,-0.000210189,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126349445376,0.001,0,0,-0.626945,-0.000210189,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126350445312,0.001,0,0,-0.626945,-0.000210189,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126351445248,0.001,0,0,-0.626945,-0.000210189,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126352445184,0.001,0,0,-0.626946,-0.000210189,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126353445120,0.001,0,0,-0.626946,-0.000210188,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126354445056,0.001,0,0,-0.626946,-0.000210188,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126355444992,0.001,0,0,-0.626946,-0.000210188,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
1783120126356444928,0.001,0,0,-0.626947,-0.000210188,0,0.5,0,0,0,0,0,-9.80665,0,0,0,0,0,0,0.5,0.5,0.5,0.5
