timestamp_ns,dt,raw_baro_alt,gps_alt,ekf_alt,ekf_vel_z,pid_target,pid_out_throttle
1782475481154588300,0.001125,-0.679513,-0.679513,-0.242878,-0,0,0.5
1782475481155588300,0.001,-0.679513,-0.679513,-0.35785,-2.9811e-05,0,0.5
1782475481156338300,0.00075,-0.679513,-0.679513,-0.424895,-4.57968e-05,0,0.5
1782475481156713300,0.000375,-0.679513,-0.679513,-0.468812,-5.19016e-05,0,0.5
1782475481156963300,0.00025,-0.679513,-0.679513,-0.499807,-5.36287e-05,0,0.5
1782475481157588300,0.000625,-0.679513,-0.679513,-0.522853,-5.5751e-05,0,0.5
1782475481158338300,0.00075,-0.679513,-0.679513,-0.54066,-5.83473e-05,0,0.5
1782475481158963300,0.000625,-0.679513,-0.679513,-0.554832,-6.05497e-05,0,0.5
1782475481159588300,0.000625,-0.679513,-0.679513,-0.566379,-6.24239e-05,0,0.5
1782475481160338300,0.00075,-0.679513,-0.679513,-0.575969,-6.43031e-05,0,0.5
1782475481160963300,0.000625,-0.679513,-0.679513,-0.58406,-6.58723e-05,0,0.5
1782475481161713300,0.00075,-0.679513,-0.679513,-0.590978,-6.73955e-05,0,0.5
1782475481162463300,0.00075,-0.679513,-0.679513,-0.596961,-6.884e-05,0,0.5
1782475481163213300,0.00075,-0.679513,-0.679513,-0.602186,-7.01919e-05,0,0.5
1782475481164213300,0.001,-0.679513,-0.679513,-0.60679,-7.17065e-05,0,0.5
1782475481165213300,0.001,-0.679513,-0.679513,-0.610876,-7.3296e-05,0,0.5
1782475481166088300,0.000875,-0.679513,-0.679513,-0.614528,-7.48013e-05,0,0.5
1782475481166838300,0.00075,-0.679513,-0.679513,-0.61781,-7.61261e-05,0,0.5
1782475481167713300,0.000875,-0.679513,-0.679513,-0.620777,-7.738e-05,0,0.5
1782475481168463300,0.00075,-0.679513,-0.679513,-0.623472,-7.84862e-05,0,0.5
1782475481169213300,0.00075,-0.679513,-0.679513,-0.62593,-7.94652e-05,0,0.5
1782475481169838300,0.000625,-0.679513,-0.679513,-0.628182,-8.0272e-05,0,0.5
1782475481170588300,0.00075,-0.679513,-0.679513,-0.630252,-8.09931e-05,0,0.5
1782475481171213300,0.000625,-0.679513,-0.679513,-0.632161,-8.15858e-05,0,0.5
1782475481171963300,0.00075,-0.679513,-0.679513,-0.633928,-8.2119e-05,0,0.5
1782475481172713300,0.00075,-0.679513,-0.679513,-0.635568,-8.25981e-05,0,0.5
1782475481173463300,0.00075,-0.679513,-0.679513,-0.637094,-8.30282e-05,0,0.5
1782475481174213300,0.00075,-0.679513,-0.679513,-0.638518,-8.34135e-05,0,0.5
1782475481174838300,0.000625,-0.679513,-0.679513,-0.639849,-8.37222e-05,0,0.5
1782475481175463300,0.000625,-0.679513,-0.679513,-0.641097,-8.39647e-05,0,0.5
1782475481176088300,0.000625,-0.679513,-0.679513,-0.642268,-8.41499e-05,0,0.5
1782475481176838300,0.00075,-0.679513,-0.679513,-0.64337,-8.43139e-05,0,0.5
1782475481177588300,0.00075,-0.679513,-0.679513,-0.644409,-8.44579e-05,0,0.5
1782475481178463300,0.000875,-0.679513,-0.679513,-0.64539,-8.4608e-05,0,0.5
1782475481179213300,0.00075,-0.679513,-0.679513,-0.646317,-8.47366e-05,0,0.5
1782475481179963300,0.00075,-0.679513,-0.679513,-0.647195,-8.48449e-05,0,0.5
1782475481180963300,0.001,-0.679513,-0.679513,-0.648028,-8.49768e-05,0,0.5
1782475481182213300,0.00125,-0.679513,-0.679513,-0.64882,-8.51672e-05,0,0.5
1782475481183338300,0.001125,-0.679513,-0.679513,-0.649572,-8.53857e-05,0,0.5
1782475481184338300,0.001,-0.679513,-0.679513,-0.650288,-8.56072e-05,0,0.5
1782475481185338300,0.001,-0.679513,-0.679513,-0.650971,-8.58287e-05,0,0.5
1782475481185963300,0.000625,-0.679513,-0.679513,-0.651623,-8.59972e-05,0,0.5
1782475481186713300,0.00075,-0.679513,-0.679513,-0.652246,-8.6134e-05,0,0.5
1782475481187463300,0.00075,-0.679513,-0.679513,-0.652841,-8.62416e-05,0,0.5
1782475481188088300,0.000625,-0.679513,-0.679513,-0.653411,-8.63078e-05,0,0.5
1782475481188838300,0.00075,-0.679513,-0.679513,-0.653957,-8.63502e-05,0,0.5
1782475481189463300,0.000625,-0.679513,-0.679513,-0.654481,-8.63576e-05,0,0.5
1782475481190213300,0.00075,-0.679513,-0.679513,-0.654984,-8.63455e-05,0,0.5
1782475481190838300,0.000625,-0.679513,-0.679513,-0.655467,-8.63035e-05,0,0.5
1782475481191463300,0.000625,-0.679513,-0.679513,-0.655931,-8.62344e-05,0,0.5
1782475481192213300,0.00075,-0.679513,-0.679513,-0.656378,-8.6151e-05,0,0.5
1782475481192963300,0.00075,-0.679513,-0.679513,-0.656808,-8.60544e-05,0,0.5
1782475481193963300,0.001,-0.679513,-0.679513,-0.657222,-8.59647e-05,0,0.5
1782475481195338300,0.001375,-0.679513,-0.679513,-0.657622,-8.59083e-05,0,0.5
1782475481196088300,0.00075,-0.679513,-0.679513,-0.658008,-8.58357e-05,0,0.5
1782475481196838300,0.00075,-0.679513,-0.679513,-0.65838,-8.57477e-05,0,0.5
1782475481197588300,0.00075,-0.679513,-0.679513,-0.658739,-8.56452e-05,0,0.5
1782475481198338300,0.00075,-0.679513,-0.679513,-0.659087,-8.55291e-05,0,0.5
1782475481199088300,0.00075,-0.679513,-0.679513,-0.659423,-8.54002e-05,0,0.5
1782475481199838300,0.00075,-0.679513,-0.679513,-0.659748,-8.52593e-05,0,0.5
1782475481200463300,0.000625,-0.679513,-0.679513,-0.660063,-8.50999e-05,0,0.5
1782475481201213300,0.00075,-0.679513,-0.679513,-0.660368,-8.49303e-05,0,0.5
1782475481201838300,0.000625,-0.679513,-0.679513,-0.660663,-8.47445e-05,0,0.5
1782475481202588300,0.00075,-0.679513,-0.679513,-0.66095,-8.45501e-05,0,0.5
1782475481203213300,0.000625,-0.679513,-0.679513,-0.661228,-8.43415e-05,0,0.5
1782475481203838300,0.000625,-0.679513,-0.679513,-0.661498,-8.41199e-05,0,0.5
1782475481204588300,0.00075,-0.679513,-0.679513,-0.661759,-8.38916e-05,0,0.5
1782475481205338300,0.00075,-0.679513,-0.679513,-0.662014,-8.3657e-05,0,0.5
1782475481206088300,0.00075,-0.679513,-0.679513,-0.662261,-8.34166e-05,0,0.5
1782475481206713300,0.000625,-0.679513,-0.679513,-0.662501,-8.31657e-05,0,0.5
1782475481207338300,0.000625,-0.679513,-0.679513,-0.662735,-8.2905e-05,0,0.5
1782475481208088300,0.00075,-0.679513,-0.679513,-0.662963,-8.26399e-05,0,0.5
1782475481208713300,0.000625,-0.679513,-0.679513,-0.663184,-8.23662e-05,0,0.5
1782475481209338300,0.000625,-0.679513,-0.679513,-0.663399,-8.20846e-05,0,0.5
1782475481210088300,0.00075,-0.679513,-0.679513,-0.663609,-8.17997e-05,0,0.5
1782475481210838300,0.00075,-0.679513,-0.679513,-0.663814,-8.15115e-05,0,0.5
1782475481211588300,0.00075,-0.679513,-0.679513,-0.664013,-8.12204e-05,0,0.5
1782475481212338300,0.00075,-0.679513,-0.679513,-0.664207,-8.09264e-05,0,0.5
1782475481213088300,0.00075,-0.679513,-0.679513,-0.664397,-8.06299e-05,0,0.5
1782475481213713300,0.000625,-0.679513,-0.679513,-0.664582,-8.03275e-05,0,0.5
1782475481214588300,0.000875,-0.679513,-0.679513,-0.664762,-8.00261e-05,0,0.5
1782475481215213300,0.000625,-0.679513,-0.679513,-0.664938,-7.97195e-05,0,0.5
1782475481215963300,0.00075,-0.679513,-0.679513,-0.66511,-7.94109e-05,0,0.5
1782475481216838300,0.000875,-0.679513,-0.679513,-0.665278,-7.91035e-05,0,0.5
1782475481217463300,0.000625,-0.679513,-0.679513,-0.665442,-7.87915e-05,0,0.5
1782475481218213300,0.00075,-0.679513,-0.679513,-0.665603,-7.84781e-05,0,0.5
1782475481218838300,0.000625,-0.679513,-0.679513,-0.665759,-7.81606e-05,0,0.5
1782475481219588300,0.00075,-0.679513,-0.679513,-0.665913,-7.7842e-05,0,0.5
1782475481220213300,0.000625,-0.679513,-0.679513,-0.666062,-7.75199e-05,0,0.5
1782475481220963300,0.00075,-0.679513,-0.679513,-0.666209,-7.71968e-05,0,0.5
1782475481221588300,0.000625,-0.679513,-0.679513,-0.666352,-7.68708e-05,0,0.5
1782475481222213300,0.000625,-0.679513,-0.679513,-0.666493,-7.6542e-05,0,0.5
1782475481222838300,0.000625,-0.679513,-0.679513,-0.66663,-7.62107e-05,0,0.5
1782475481223588300,0.00075,-0.679513,-0.679513,-0.666765,-7.5879e-05,0,0.5
1782475481224213300,0.000625,-0.679513,-0.679513,-0.666896,-7.55453e-05,0,0.5
1782475481224838300,0.000625,-0.679513,-0.679513,-0.667026,-7.52095e-05,0,0.5
1782475481225588300,0.00075,-0.679513,-0.679513,-0.667152,-7.48738e-05,0,0.5
1782475481226213300,0.000625,-0.679513,-0.679513,-0.667276,-7.45365e-05,0,0.5
1782475481226963300,0.00075,-0.679513,-0.679513,-0.667397,-7.41993e-05,0,0.5
1782475481227588300,0.000625,-0.679513,-0.679513,-0.667516,-7.38609e-05,0,0.5
1782475481228213300,0.000625,-0.679513,-0.679513,-0.667633,-7.35213e-05,0,0.5
1782475481228963300,0.00075,-0.679513,-0.679513,-0.667748,-7.31822e-05,0,0.5
1782475481229713300,0.00075,-0.679513,-0.679513,-0.66786,-7.28436e-05,0,0.5
1782475481230338300,0.000625,-0.679513,-0.679513,-0.66797,-7.25042e-05,0,0.5
