idx,sim_ts_ns,wall_us,read_us,interarrival_us,jitter_us,sim_dt_us
97,1782475481226213300,102294,0.7,780.5,530.5,625
98,1782475481226963300,103049,0.8,755.5,505.5,750
99,1782475481227588300,103744,1,694.6,444.6,625
100,1782475481228213300,104406,3,662.4,412.4,625
101,1782475481228963300,105129,0.5,722.6,472.6,750
102,1782475481229713300,105832,0.4,702.9,452.9,750
103,1782475481230338300,106494,0.4,662.7,412.7,625
104,1782475481230963300,107165,0.6,670.6,420.6,625
105,1782475481231838300,107952,0.4,787.6,537.6,875
106,1782475481232713300,108889,0.8,936.7,686.7,875
107,1782475481233588300,109673,0.5,783.9,533.9,875
108,1782475481234213300,110344,1.4,671.5,421.5,625
109,1782475481234963300,111050,0.5,705.7,455.7,750
110,1782475481235588300,111759,0.7,708.4,458.4,625
111,1782475481236338300,112431,0.6,672.2,422.2,750
112,1782475481236963300,113136,0.3,705.2,455.2,625
113,1782475481237588300,113794,0.4,658,408,625
114,1782475481238338300,114471,0.5,676.8,426.8,750
115,1782475481239088300,115176,0.9,705.3,455.3,750
116,1782475481239713300,115876,0.4,699.4,449.4,625
117,1782475481240463300,116554,0.6,678.7,428.7,750
118,1782475481241088300,117247,0.6,692.9,442.9,625
119,1782475481241963300,118327,0.9,1080.2,830.2,875
120,1782475481242838300,119221,0.9,893.8,643.8,875
121,1782475481243838300,120242,0.7,1020.4,770.4,1000
122,1782475481244713300,121068,0.4,826,576,875
123,1782475481245338300,121771,0.5,703.5,453.5,625
124,1782475481246213300,122571,0.6,799.7,549.7,875
125,1782475481246963300,123390,0.8,819.2,569.2,750
126,1782475481247713300,124156,0.6,765.6,515.6,750
127,1782475481248713300,125065,0.7,909.7,659.7,1000
128,1782475481249713300,126084,0.7,1018.6,768.6,1000
129,1782475481250338300,126827,0.4,743.2,493.2,625
130,1782475481251213300,127605,0.9,778.1,528.1,875
131,1782475481251838300,128308,0.3,702.9,452.9,625
132,1782475481252713300,129118,0.6,810.1,560.1,875
133,1782475481253338300,129832,0.6,714.1,464.1,625
134,1782475481254088300,130530,0.4,697.3,447.3,750
135,1782475481254713300,131182,0.3,652.5,402.5,625
136,1782475481255338300,131819,0.4,637.2,387.2,625
137,1782475481256088300,132490,0.4,670.5,420.5,750
138,1782475481256838300,133221,0.4,731.7,481.7,750
139,1782475481257088300,162196,0.1,28974.9,28724.9,250
140,1782475481257963300,163119,0.6,922.9,672.9,875
141,1782475481258713300,163853,0.5,734.2,484.2,750
142,1782475481259213300,164542,0.3,689,439,500
143,1782475481260088300,165481,1.2,939,689,875
